
3,0,0,0.00,-0.09,0.00,-0.11,-174.88,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00


0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

4,0,0,0.01,-0.09,0.00,0.39,-175.00,,0.00,0.00,0.00,0.0,,-0.00,0.00,0.00,0.00,0.00
0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

7,0,0,0.00,-0.08,0.00,0.00,-175.54,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

13,0,0,0.01,-0.08,0.00,0.31,-175.18,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

16,0,0,0.00,-0.09,0.00,0.34,-174.54,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

22,0,0,-0.00,-0.08,0.00,0.36,-175.20,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

25,0,0,0.01,-0.09,0.00,0.48,-174.56,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

30,0,0,0.00,-0.09,0.00,0.20,-175.14,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

59,0,0,0.01,-0.08,0.00,0.50,-175.04,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

35,0,0,0.01,-0.08,0.00,0.06,-175.02,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

38,0,0,0.01,-0.09,0.00,0.50,-174.96,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

41,0,0,0.00,-0.08,0.00,-0.17,-175.27,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

43,0,0,0.01,-0.09,0.00,0.28,-175.01,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

46,0,0,0.01,-0.08,0.00,0.17,-175.19,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

49,0,0,0.01,-0.09,0.00,0.36,-174.98,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

52,0,0,0.01,-0.09,0.00,0.34,-174.92,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

54,0,0,0.01,-0.08,0.00,0.48,-175.17,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

57,0,0,0.00,-0.08,0.00,0.17,-175.01,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

59,0,0,0.01,-0.08,0.00,0.14,-174.87,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

62,0,0,0.01,-0.09,0.00,0.14,-174.96,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

65,0,0,0.01,-0.09,0.00,0.17,-175.14,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

68,0,0,0.01,-0.08,0.00,0.34,-175.27,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

70,0,0,0.00,-0.08,0.00,0.50,-175.24,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

73,0,0,0.01,-0.10,0.00,0.34,-174.63,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

76,0,0,0.01,-0.09,0.00,0.28,-175.20,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

78,0,0,0.01,-0.09,0.00,0.42,-175.25,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

81,0,0,0.01,-0.08,0.00,0.25,-174.95,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

84,0,0,0.01,-0.08,0.00,0.45,-174.93,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

86,0,0,0.01,-0.09,0.00,0.06,-174.67,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

89,0,0,0.01,-0.09,0.00,0.17,-175.36,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

92,0,0,0.00,-0.08,0.00,0.22,-175.29,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

95,0,0,0.01,-0.09,0.00,0.25,-174.78,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

97,0,0,0.00,-0.09,0.00,0.17,-175.11,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

100,0,0,0.01,-0.09,0.00,0.22,-174.72,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

129,0,0,-0.00,-0.09,0.00,-0.25,-174.80,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

105,0,0,0.00,-0.08,0.00,-0.20,-175.46,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

108,0,0,0.01,-0.08,0.00,0.34,-174.92,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

111,0,0,0.01,-0.08,0.00,0.22,-175.41,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

114,0,0,-0.00,-0.08,0.00,0.36,-175.06,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

116,0,0,0.00,-0.08,0.00,0.08,-174.80,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

119,0,0,0.01,-0.09,0.00,0.25,-175.16,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

121,0,0,0.00,-0.09,0.00,0.17,-174.81,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

124,0,0,0.01,-0.09,0.00,0.06,-175.04,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

127,0,0,0.01,-0.08,0.00,0.56,-175.31,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

129,0,0,0.01,-0.08,0.00,-0.17,-175.28,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

132,0,0,0.01,-0.09,0.00,0.28,-174.74,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

161,0,0,0.01,-0.09,0.00,0.36,-174.54,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00

