KNO3 (%),Sorbitol (%),Mass KNO3 (g),Mass Sorbitol (g),C*,Density,Chamber Cp/Cv,Chamber Temp,Isp*,Molecular Weight
84.75,15.25,1231.93,300.98,,,,,,
85.0,15.0,1235.56,296.05,,,,,,
85.25,14.75,1239.19,291.12,,,,,,
85.5,14.5,1242.83,286.18,,,,,,
85.75,14.25,1246.46,281.25,,,,,,
86.0,14.0,1250.1,276.31,,,,,,
86.25,13.75,1253.73,271.38,,,,,,
86.5,13.5,1257.36,266.45,,,,,,
86.75,13.25,1261.0,261.51,,,,,,
87.0,13.0,1264.63,256.58,,,,,,
87.25,12.75,1268.27,251.64,,,,,,
87.5,12.5,1271.9,246.71,,,,,,
87.75,12.25,1275.53,241.78,,,,,,
88.0,12.0,1279.17,236.84,,,,,,
88.25,11.75,1282.8,231.91,,,,,,
88.5,11.5,1286.44,226.97,,,,,,
88.75,11.25,1290.07,222.04,,,,,,
89.0,11.0,1293.7,217.11,,,,,,
89.25,10.75,1297.34,212.17,,,,,,
89.5,10.5,1300.97,207.24,,,,,,
89.75,10.25,1304.61,202.29,,,,,,
90.0,10.0,1308.24,197.37,,,,,,
